H number,Name,Description,Category,Gene,Pathogen,Env factor,Carcinogen,Marker,Drug,Comment,Other DBs,Reference,DB REF,Code_1,Code_2,Code_3,Code_4,Code_5,Code_6,Code_7,Code_8,Code_9,Code_10,Code_11,Code_12,Code_13,Code_14,Code_15,Code_16,Code_17,Code_18,Code_19,Code_20,Code_21,Code_22,Code_23,Code_24,Code_25,Code_26,Code_27,Code_28,Code_29,Code_30
H01096,"Pyruvate kinase (PK) deficiency, including:
Red cell pyruvate kinase (PK) deficiency;
Pyruvate kinase hyperactivity","Pyruvate kinase (PK) deficiency is inherited metabolic disorder caused by mutations in PKLR that encodes both L-PK (expressed in liver, renal cortex, and small intestine) and R-PK (restricted to erythrocytes). The symptoms include jaundice, enlargement of the spleen, and hemolysis, leading to anemia. One hundred fifty-eight mutations associated with non-spherocytic haemolytic anaemia and eight polymorphic sites have been so far reported in the PKLR gene. It has also been found that a specific mutation in the PKLR gene causes hereditary increase of red blood cell ATP.",Inherited metabolic disease; Hematologic disease,PKLR [HSA:5313] [KO:K12406],,,,,,,"ICD-10: D55.2
OMIM: 266200 102900","PMID:17550841
  AUTHORS   Zanella A, Bianchi P, Fermo E
  TITLE     Pyruvate kinase deficiency.
  JOURNAL   Haematologica 92:721-3 (2007)
DOI:10.3324/haematol.11469

PMID:15982340
  AUTHORS   Zanella A, Fermo E, Bianchi P, Valentini G
  TITLE     Red cell pyruvate kinase deficiency: molecular and clinical aspects.
  JOURNAL   Br J Haematol 130:11-25 (2005)
DOI:10.1111/j.1365-2141.2005.05527.x

PMID:9090535
  AUTHORS   Beutler E, Westwood B, van Zwieten R, Roos D
  TITLE     G--&gt;T transition at cDNA nt 110 (K37Q) in the PKLR (pyruvate kinase) gene is the molecular basis of a case of hereditary increase of red blood cell ATP.
  JOURNAL   Hum Mutat 9:282-5 (1997)
DOI:10.1002/(SICI)1098-1004(1997)9:3<282:AID-HUMU13>3.0.CO;2-Z",OMIM,266200,102900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H00956,"Lattice corneal dystrophies (LCD), including:
Biber-Haab-Dimmer dystrophy;
Familial amyloid polyneuropathy type IV;
Meretoja syndrome","Lattice corneal dystrophy (LCD), the most common of the stromal cornea dystrophies, is an autosomal dominant dystrophy with variable expression. Clinical findings include the presence of a linear network of subepithelial opacities (lattice lines). Clinically and histologically there are several types of two genetically distinct inherited LCD so far. One with no systemic manifestations is caused by specific mutations in the TGFBI gene (LCD type I and its variants); the other resulting from a mutation in the GSN gene (LCD type II) has systemic manifestations.",Eye disease,"(LCDI, LCDIII) TGFBI [HSA:7045] [KO:K19519]
(LCDII) GSN [HSA:2934] [KO:K05768]",,,,,,"For LCD type II, see also [DS:H00845].","ICD-10: H18.5
OMIM: 608471 105120 122200","PMID:19236704 (description, gene)
  AUTHORS   Klintworth GK
  TITLE     Corneal dystrophies.
  JOURNAL   Orphanet J Rare Dis 4:7 (2009)
DOI:10.1186/1750-1172-4-7

PMID:18214787 (description, gene)
  AUTHORS   Poulaki V, Colby K
  TITLE     Genetics of anterior and stromal corneal dystrophies.
  JOURNAL   Semin Ophthalmol 23:9-17 (2008)
DOI:10.1080/08820530701745173

PMID:16900028 (description, gene)
  AUTHORS   Pieramici SF, Afshari NA
  TITLE     Genetics of corneal dystrophies: the evolving landscape.
  JOURNAL   Curr Opin Ophthalmol 17:361-6 (2006)
DOI:10.1097/01.icu.0000233955.94347.84",OMIM,608471,105120,122200,,,,,,,,,,,,,,,,,,,,,,,,,,,
H01006,Hereditary angioedema,"Hereditary angioedema (HAE) is a rare genetic disorder, manifested by recurrent episodes of angioedema localized to the skin or mucosa of the gastrointestinal tract or larynx. The laryngeal angioedema is potentially lethal. The classic forms, HAE types I and II, result from deficiency of the plasma protease inhibitor, C1 inhibitor (C1INH). Type I HAE is caused by decreased expression of C1INH in the plasma whereas type 2 HAE, consisting approximately 15% of patients with HAE, is due to expression of a dysfunctional C1INH protein. HAE type III has been observed exclusively in women and appears to be correlated with high estrogen levels.",Vascular disease,"(type I and II) C1NH [HSA:710] [KO:K04001]
(type III) F12; coagulation factor XII [HSA:2161] [KO:K01328]",,,,,"Ecallantide [DR:D03931]
Icatibant [DR:D04492] 
Berinert-P; human plasma-derived C1-INH
Rhucin; recombinant C1-INH produced in transgenic rabbit",,"ICD-10: D84.1
OMIM: 610618 106100","PMID:14572810 (description, gene)
  AUTHORS   Davis AE 3rd
  TITLE     The pathogenesis of hereditary angioedema.
  JOURNAL   Transfus Apher Sci 29:195-203 (2003)
DOI:10.1016/j.transci.2003.08.012

PMID:15596403 (description, gene)
  AUTHORS   Davis AE 3rd
  TITLE     The pathophysiology of hereditary angioedema.
  JOURNAL   Clin Immunol 114:3-9 (2005)
DOI:10.1016/j.clim.2004.05.007

PMID:21279474 (drug)
  AUTHORS   Antoniu SA
  TITLE     Therapeutic approaches in hereditary angioedema.
  JOURNAL   Clin Rev Allergy Immunol 41:114-22 (2011)
DOI:10.1007/s12016-011-8254-2

PMID:19160940 (drug)
  AUTHORS   Reshef A, Leibovich I, Goren A
  TITLE     Hereditary angioedema: new hopes for an orphan disease.
  JOURNAL   Isr Med Assoc J 10:850-5 (2008)

PMID:17186468 (description, gene)
  AUTHORS   Cichon S, Martin L, Hennies HC, Muller F, Van Driessche K, Karpushova A, Stevens W, Colombo R, Renne T, Drouet C, Bork K, Nothen MM
  TITLE     Increased activity of coagulation factor XII (Hageman factor) causes hereditary angioedema type III.
  JOURNAL   Am J Hum Genet 79:1098-104 (2006)
DOI:10.1086/509899",OMIM,610618,106100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H00749,Episodic ataxias,"Episodic ataxias (EAs) are a group of rare autosomal-dominant diseases characterized by recurrent, discrete episodes of ataxia, giddiness, and vertigo. EA1 and EA2 are the most widely recognized of the autosomal-dominant EAs and are caused by dysfunction of neuronal voltage-gated ion channels. There are central and peripheral nervous system manifestations in both conditions. The current classification is based on genetics and actually includes seven distinct subtypes. But these variants other than EA1 and EA2 are rare, some only occurring in single families, and gene mutations have not been identified in all. It is quite likely, however, that the number of phenotypes and mutated genes will grow further.",Nervous system disease,"(EA1) KCNA1 [HSA:3736] [KO:K04874]
(EA2) CACNA1A [HSA:773] [KO:K04344]
(EA5) CACNB4 [HSA:785] [KO:K04865]
(EA6) SLC1A3 [HSA:6507] [KO:K05614]",,,,,"Carbamazepine [DR:D00252]
Phenytoin [DG:DG00846]
Sulthiame [DR:D01787]
Acetazolamide [DG:DG01134]
4-Aminopyridine [DR:D04127]",,"ICD-10: G11.8
OMIM: 160120 108500 613855 612656","PMID:19650351 (description, gene)
  AUTHORS   Finsterer J
  TITLE     Ataxias with autosomal, X-chromosomal or maternal inheritance.
  JOURNAL   Can J Neurol Sci 36:409-28 (2009)
DOI:10.1017/S0317167100007733

PMID:19734086 (description, gene, drug)
  AUTHORS   Tomlinson SE, Hanna MG, Kullmann DM, Tan SV, Burke D
  TITLE     Clinical neurophysiology of the episodic ataxias: insights into ion channel dysfunction in vivo.
  JOURNAL   Clin Neurophysiol 120:1768-76 (2009)
DOI:10.1016/j.clinph.2009.07.003",OMIM,160120,108500,613855,612656,,,,,,,,,,,,,,,,,,,,,,,,,,
H00292,Hypertrophic cardiomyopathy (HCM),"Hypertrophic cardiomyopathy (HCM) is a primary myocardial disorder with an autosomal dominant pattern of inheritance that is characterized by hypertrophy of the left ventricles with histological features of myocyte hypertrophy, myfibrillar disarray, and interstitial fibrosis. HCM is one of the most common inherited cardiac disorders, with a prevalence in young adults of 1 in 500. Hundreds of mutations in the genes that encode protein constituents of the sarcomere have been identified in HCM. These mutations increase the Ca2+ sensitivity of cardiac myofilaments. Increased myofilament Ca2+ sensitivity is expected to increase the ATP utilization by actomyosin at submaximal Ca2+ concentrations, which might cause an imbalance in energy supply and demand in the heart under severe stress. The inefficient use of ATP suggests that an inability to maintain normal ATP levels could be the central abnormality. This theory might be supported by the discovery of the role of a mutant PRKAG2 gene in HCM, which in active form acts as a central sensing mechanism protecting cells from depletion of ATP supplies. The increase in the myfilament Ca2+ sensitivity well account for the diastolic dysfunction of model animals as well as human patients of HCM. It has been widely proposed that left ventricular hypertrophy is not a primary manifestation but develops as compensatory response to sarcomere dysfunction.",Cardiovascular disease,"MYH7 (mutation) [HSA:4625] [KO:K17751]
TNNT2 (mutation) [HSA:7139] [KO:K12045]
MYBPC3 (mutation) [HSA:4607] [KO:K12568]
TPM1 (mutation) [HSA:7168] [KO:K10373]
TNNI3 (mutation) [HSA:7137] [KO:K12044]
MYL2 (mutation) [HSA:4633] [KO:K10351]
MYL3 (mutation) [HSA:4634] [KO:K12749]
ACTC1 (mutation) [HSA:70] [KO:K12314]
TTN (mutation) [HSA:7273] [KO:K12567]
MYH6 (mutation) [HSA:4624] [KO:K17751]
PRKAG2 (mutation) [HSA:51422] [KO:K07200]
CSRP3 (mutation) [HSA:8048] [KO:K09377]
TNNC1 (mutation) [HSA:7134] [KO:K05865]
VCL (mutation) [HSA:7414] [KO:K05700]",,Athletic training,,,"Beta-blockers
Disopyramide [DG:DG00194]
Verapamil [DG:DG00329]
Diltiazem [DG00331]",,"ICD-10: I42
OMIM: 192600 115195 115197 115196 613690 608758 608751 612098 188840 613251 612098 600858 612124 613243 613255","PMID:12270949 (gene)
  AUTHORS   Fatkin D, Graham RM
  TITLE     Molecular mechanisms of inherited cardiomyopathies.
  JOURNAL   Physiol Rev 82:945-80 (2002)
DOI:10.1152/physrev.00012.2002

PMID:12844200 (gene)
  AUTHORS   Moolman-Smook JC, Mayosi BM, Brink PA, Corfield VA
  TITLE     Molecular genetics of cardiomyopathy: changing times, shifting paradigms.
  JOURNAL   Cardiovasc J S Afr 14:145-55 (2003)

PMID:11716909 (gene)
  AUTHORS   Franz WM, Muller OJ, Katus HA
  TITLE     Cardiomyopathies: from genetics to the prospect of treatment.
  JOURNAL   Lancet 358:1627-37 (2001)
DOI:10.1016/S0140-6736(01)06657-0

PMID:11273720 (gene)
  AUTHORS   Marian AJ, Roberts R
  TITLE     The molecular genetic basis for hypertrophic cardiomyopathy.
  JOURNAL   J Mol Cell Cardiol 33:655-70 (2001)
DOI:10.1006/jmcc.2001.1340

PMID:18572189 (gene)
  AUTHORS   Landstrom AP, Parvatiyar MS, Pinto JR, Marquardt ML, Bos JM, Tester DJ, Ommen SR, Potter JD, Ackerman MJ
  TITLE     Molecular and functional characterization of novel hypertrophic cardiomyopathy susceptibility mutations in TNNC1-encoded troponin C.
  JOURNAL   J Mol Cell Cardiol 45:281-8 (2008)
DOI:10.1016/j.yjmcc.2008.05.003

PMID:16712796 (gene)
  AUTHORS   Vasile VC, Ommen SR, Edwards WD, Ackerman MJ
  TITLE     A missense mutation in a ubiquitously expressed protein, vinculin, confers susceptibility to hypertrophic cardiomyopathy.
  JOURNAL   Biochem Biophys Res Commun 345:998-1003 (2006)
DOI:10.1016/j.bbrc.2006.04.151

PMID:15183628 (env_factor ,drug)
  AUTHORS   Elliott P, McKenna WJ
  TITLE     Hypertrophic cardiomyopathy.
  JOURNAL   Lancet 363:1881-91 (2004)
DOI:10.1016/S0140-6736(04)16358-7

PMID:18930982 (drug)
  AUTHORS   Soor GS, Luk A, Ahn E, Abraham JR, Woo A, Ralph-Edwards A, Butany J
  TITLE     Hypertrophic cardiomyopathy: current understanding and treatment objectives.
  JOURNAL   J Clin Pathol 62:226-35 (2009)
DOI:10.1136/jcp.2008.061655

PMID:19568388 (drug)
  AUTHORS   Marian AJ
  TITLE     Contemporary treatment of hypertrophic cardiomyopathy.
  JOURNAL   Tex Heart Inst J 36:194-204 (2009)

PMID:15123994 (drug)
  AUTHORS   Ommen SR, Nishimura RA
  TITLE     Hypertrophic cardiomyopathy.
  JOURNAL   Curr Probl Cardiol 29:239-91 (2004)
DOI:10.1016/j.cpcardiol.2004.01.001",OMIM,192600,115195,115197,115196,613690,608758,608751,612098,188840,613251,612098,600858,612124,613243,613255,,,,,,,,,,,,,,,
H00806,"Benign familial neonatal and infantile epilepsies, including:
Benign familial neonatal epilepsy (BFNE);
Benign familial neonatal infantile epilepsy (BFNIE);
Benign familial infantile epilepsy (BFIE)","Benign familial neonatal epilepsy (BFNE), benign familial neonatal infantile epilepsy (BFNIE), and benign familial infantile epilepsy (BFIE) are three benign epilepsy syndromes with autosomal dominant inheritance distinguished by ascending average ages of seizure onset (mean age at onset of 2-3 days; 11 weeks; and 6 months, respectively). They are a group of genetic (idiopathic) epilepsies which have a primary genetic background, usually no structural brain abnormalities and most of them have a benign course without additional neurological symptoms. For BFNE and BFNIE, genetic defects have already been identified. Whereas BFNE are caused by loss-of-function mutations in the two genes KCNQ2 and KCNQ3 encoding the voltage-gated K+ channels Kv7.2 and Kv7.3, mutations in the gene SCN2A encoding the voltage-gated Na+ channel Nav1.2 have been detected in BFNIE. There are as yet no known genes identified for BFIE.",Nervous system disease,"(BFNE) KCNQ2 [HSA:3785] [KO:K04927]
(BFNE) KCNQ3 [HSA:3786] [KO:K04928]
(BFNIE) SCN2A [HSA:6326] [KO:K04834]",,,,,,,"ICD-10: G40.3
OMIM: 121200 121201 607745","PMID:20196795 (name)
  AUTHORS   Berg AT, Berkovic SF, Brodie MJ, Buchhalter J, Cross JH, van Emde Boas W, Engel J, French J, Glauser TA, Mathern GW, Moshe SL, Nordli D, Plouin P, Scheffer IE
  TITLE     Revised terminology and concepts for organization of seizures and epilepsies: report of the ILAE Commission on Classification and Terminology, 2005-2009.
  JOURNAL   Epilepsia 51:676-85 (2010)
DOI:10.1111/j.1528-1167.2010.02522.x

PMID:21395569 (description, gene)
  AUTHORS   Mulley JC, Heron SE, Dibbens LM
  TITLE     Proposed genetic classification of the ""benign"" familial neonatal and infantile epilepsies.
  JOURNAL   Epilepsia 52:649-50 (2011)
DOI:10.1111/j.1528-1167.2010.02953.x

PMID:20371507 (description, gene)
  AUTHORS   Liao Y, Deprez L, Maljevic S, Pitsch J, Claes L, Hristova D, Jordanova A, Ala-Mello S, Bellan-Koch A, Blazevic D, Schubert S, Thomas EA, Petrou S, Becker AJ, De Jonghe P, Lerche H
  TITLE     Molecular correlates of age-dependent seizures in an inherited neonatal-infantile epilepsy.
  JOURNAL   Brain 133:1403-14 (2010)
DOI:10.1093/brain/awq057",OMIM,121200,121201,607745,,,,,,,,,,,,,,,,,,,,,,,,,,,
H01029,Cornea plana congenita,"Cornea plana congenita is a rare hereditary anomaly in which the normal protrusion of the cornea from the sclera is missing. Clinical features include hyperopia, slight microcornea, an extended limbus zone, and arcus lipoides seen even before the age of 20. Cornea plana congenita occurs in a mild autosomal dominant (CNA1) and a more severe autosomal recessive (CNA2) form. CNA2 has a high prevalence in the Finnish population due to strong founder effect.",Eye disease,(CNA2) KERA [HSA:11081] [KO:K08123],,,,,,,"ICD-10: Q13.4
OMIM: 217300 121400","PMID:8929947 (description)
  AUTHORS   Tahvanainen E, Forsius H, Kolehmainen J, Damsten M, Fellman J, de la Chapelle A
  TITLE     The genetics of cornea plana congenita.
  JOURNAL   J Med Genet 33:116-9 (1996)
DOI:10.1136/jmg.33.2.116

PMID:9591953 (description)
  AUTHORS   Forsius H, Damsten M, Eriksson AW, Fellman J, Lindh S, Tahvanainen E
  TITLE     Autosomal recessive cornea plana. A clinical and genetic study of 78 cases in Finland.
  JOURNAL   Acta Ophthalmol Scand 76:196-203 (1998)
DOI:10.1034/j.1600-0420.1998.760215.x

PMID:9228241 (description)
  AUTHORS   Sigler-Villanueva A, Tahvanainen E, Lindh S, Dieguez-Lucena J, Forsius H
  TITLE     Autosomal dominant cornea plana: clinical findings in a Cuban family and a review of the literature.
  JOURNAL   Ophthalmic Genet 18:55-62 (1997)

PMID:10802664 (gene)
  AUTHORS   Pellegata NS, Dieguez-Lucena JL, Joensuu T, Lau S, Montgomery KT, Krahe R, Kivela T, Kucherlapati R, Forsius H, de la Chapelle A
  TITLE     Mutations in KERA, encoding keratocan, cause cornea plana.
  JOURNAL   Nat Genet 25:91-5 (2000)
DOI:10.1038/75664",OMIM,217300,121400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H00432,"Hereditary dentine disorders, including the following three diseases:
Dentine dysplasia, type II;
Dentinogenesis imperfecta, types II and III","These three disorders comprise a group of autosomal dominant diseases characterized by opalescent teeth caused by abnormal dentine structure. The phenotype varies from mild and severe, affecting either deciduous or both deciduous and permanent dentition. These diseases arise from mutations of the dentine sialophosphoprotein gene (DSPP) that is involved in dentin matrix formation.",Mouth and dental disease,DSPP [HSA:1834],,,,,,,"ICD-10: K00.5
OMIM: 125490 125500 125420","PMID:19021896
  AUTHORS   Barron MJ, McDonnell ST, Mackie I, Dixon MJ
  TITLE     Hereditary dentine disorders: dentinogenesis imperfecta and dentine dysplasia.
  JOURNAL   Orphanet J Rare Dis 3:31 (2008)
DOI:10.1186/1750-1172-3-31

PMID:17452557
  AUTHORS   Kim JW, Simmer JP
  TITLE     Hereditary dentin defects.
  JOURNAL   J Dent Res 86:392-9 (2007)
DOI:10.1177/154405910708600502

PMID:16955410
  AUTHORS   MacDougall M, Dong J, Acevedo AC
  TITLE     Molecular basis of human dentin diseases.
  JOURNAL   Am J Med Genet A 140:2536-46 (2006)
DOI:10.1002/ajmg.a.31359",OMIM,125490,125500,125420,,,,,,,,,,,,,,,,,,,,,,,,,,,
H00825,"Familial flecked retina syndrome, including:
Doyne honeycomb degeneration of retina (DHRD);
Basal laminar drusen (BLD);
Fundus albipunctatus (FA) [DS:H00819];
Retinitis punctata albescens (RPA);
Bietti crystalline corneoretinal dystrophy  (BCD)","The flecked retina syndrome is characterized by multiple deep, yellow to yellowish white fundus lesions of variable size and shape in eyes without vascular or optic nerve disease. Originally this group consisted of four diseases: fundus albipunctatus, fundus flavimaculatus, familial drusen and fleck retina of Kandori. Doyne honeycomb degeneration of retina (DHRD) and Basal laminar drusen (BLD) are included in familial drusen. However, there are far more diseases with fleck-like deposits in the retina, including primary hereditary ocular diseases such as retinitis punctata albescens (RPA) or Bietti's crystalline dystrophy (BCD), neuro-ophthalmologic syndromes such as Kjellin's syndrome, and secundary retinal flecks due to metabolic disorders.",Nervous system disease; Eye disease,"(DHRD) EFEMP1 [HSA:2202] [KO:K18262]
(BLD) CFH [HSA:3075] [KO:K04004]
(FA) RDH5 [HSA:5959] [KO:K00061]
(RPA) RLBP1 [HSA:6017] [KO:K19625]
(RPA) RHO [HSA:6010] [KO:K04250]
(BCD) CYP4V2 [HSA:285440] [KO:K07427]",,,,,,,"ICD-10: H35.5
OMIM: 126600 126700 136880 210370","PMID:19373677
  AUTHORS   Walia S, Fishman GA, Kapur R
  TITLE     Flecked-retina syndromes.
  JOURNAL   Ophthalmic Genet 30:69-75 (2009)
DOI:10.1080/13816810802654516

PMID:11913893
  AUTHORS   Haimovici R, Wroblewski J, Piguet B, Fitzke FW, Holder GE, Arden GB, Bird AC
  TITLE     Symptomatic abnormalities of dark adaptation in patients with EFEMP1 retinal dystrophy (Malattia Leventinese/Doyne honeycomb retinal dystrophy).
  JOURNAL   Eye (Lond) 16:7-15 (2002)
DOI:10.1038/sj.eye.6700018

PMID:7952338
  AUTHORS   De Laey JJ
  TITLE     Flecked retina disorders.
  JOURNAL   Bull Soc Belge Ophtalmol 249:11-22 (1993)

PMID:14767656
  AUTHORS   Tsuchiya T, Kato M, Tomita N, Koide K, Hata N, Sato M, Hotta Y, Ueno M, Nakamura M, Miyake Y
  TITLE     A case of sectorial benign flecked retina.
  JOURNAL   Jpn J Ophthalmol 48:72-4 (2004)
DOI:10.1007/s10384-003-0002-6",OMIM,126600,126700,136880,210370,,,,,,,,,,,,,,,,,,,,,,,,,,
H00231,Hereditary elliptocytosis (HE),"Elliptocytosis is an autosomal dominant hematologic disorder characterized by elliptically shaped erythrocytes and a variable degree of hemolytic anemia caused by fragility of the erythrocyte membrane skeleton due to defects in alpha-spectrin, beta-spectrin, or protein 4.1.",Hematologic disease,"(HE1) EPB41 [HSA:2035] [KO:K06107]
(HE2) SPTA1 [HSA:6708] [KO:K06114]
(HE3) SPTB [HSA:6710] [KO:K06115]
(HE4) SLC4A1 [HSA:6521] [KO:K06573]",,,,,,,"ICD-10: D58.1
OMIM: 611804 130600 182870 166900","PMID:18341630
  AUTHORS   An X, Mohandas N
  TITLE     Disorders of red cell membrane.
  JOURNAL   Br J Haematol 141:367-75 (2008)
DOI:10.1111/j.1365-2141.2008.07091.x

PMID:16730867
  AUTHORS   Delaunay J
  TITLE     The molecular basis of hereditary red cell membrane disorders.
  JOURNAL   Blood Rev 21:1-20 (2007)
DOI:10.1016/j.blre.2006.03.005

PMID:15071791
  AUTHORS   Gallagher PG
  TITLE     Hereditary elliptocytosis: spectrin and protein 4.1R.
  JOURNAL   Semin Hematol 41:142-64 (2004)
DOI:10.1053/j.seminhematol.2004.01.003",OMIM,611804,130600,182870,166900,,,,,,,,,,,,,,,,,,,,,,,,,,
