CUI,Hnum,DB_ref,refcode,disease,description,category,pathways,gene,pathogen,Env-factor,carcinogen,marker,drug,comment,other_DB
C0000744,H00160,MeSH,D000012,"""Abetalipoproteinemia, Bassen-Kornzweig Disease""",Abetalipoproteinemia is an autosomal recessive disorder of lipid metabolism caused by mutation of MTTP gene involved in the transport of lipids and required in the secretion of beta-lipoproteins.,Inherited metabolic disease,,MTTP; microsomal triglyceride transfer protein [HSA:4547] [KO:K14463],,,,,,,"""ICD-10: E78.6, MeSH: D000012, OMIM: 200100"""
C0001080,H00505,MeSH,D000130,"""FGFR3-related short limb skeletal dysplasias, including: Achondroplasia [DS:H01749], Hypochondroplasia, Thanatophoric dysplasia [DS:H01750], Severe achondroplasia with developmental delay and acanthosis nigricans (SADDAN)""",FGFR3-related short limb skeletal dysplasias are a group of dwarfisms ranging from mild to lethal at the severe end. FGFR3 mutations cause these conditions by disrupting endochondral bone growth.,Skeletal dysplasia,,FGFR3 [HSA:2261] [KO:K05094],,,,,,,"""ICD-10: Q77.4, MeSH: D000130 D013796, OMIM: 100800 146000 187600 187601 616482"""
C0001080,H01749,MeSH,D000130,Achondroplasia,"""Achondroplasia is the most common skeletal dysplasia and the most frequent cause of short-limbed dwarfism. It is usually recognised at birth because of its distinctive clinical and radiographic features. Newborn infants with achondroplasia typically present with disproportionate shortening of the limbs, a long and narrow trunk, a large head with frontal bossing and midface retrusion. This disease is caused by mutations of the transmembrane receptor FGFR3, an important regulator of bone growth. It is inherited in an autosomal dominant manner, but in the majority of cases it results from de novo mutations. The most common complications of achondroplasia are medullary and radicular compressions due to spinal stenosis and deformities of the lower limbs. Most individuals with achondroplasia have normal intelligence.""",Skeletal dysplasia,,FGFR3 [HSA:2261] [KO:K05094],,,,,,See also H00505 FGFR3-related short limb skeletal dysplasias.,"""ICD-10: Q78.9, MeSH: D000130, OMIM: 100800"""
C0001126,H00241,MeSH,D000141,Combined proximal and distal renal tubular acidosis (RTA type 3),"""Renal tubular acidosis (RTA) is characterized by metabolic acidosis, a severe disturbance of extracellular pH homeostasis, due to renal impaired acid excretion. Type 3 RTA is a mixed type that shares the features of both proximal and distal lesions, with impaired proximal bicarbonate reabsorption coupled with an inability to acidify the urine maximally despite severe degrees of systemic acidemia. The condition is due to an inherited deficiency of carbonic anhydrase II (CAII) caused by a recessive mutation in the CA2 gene on chromosome 8q22.""",Urinary system disease,,CA2 [HSA:760] [KO:K18245],,High salt intake,,"""Plasma K+ [CPD:C00238], Urinary anion gap [CPD:C01330 C00238 C00698], Urine pH, Urinary NH4+""","""Intravenous potassium supplement, Sodium bicarbonate [DR:D01203]""",,"""ICD-10: N25.8, MeSH: D000141, OMIM: 259730"""
C0001126,H00428,MeSH,D000141,Distal renal tubular acidosis (RTA type 1),"""Renal tubular acidosis (RTA) is characterized by metabolic acidosis, a severe disturbance of extracellular pH homeostasis, due to renal impaired acid excretion. The distal type of RTA (dRTA) arises when the collecting duct fails to remove excess acid into the urine and is characterized by the inability to lower urine pH maximally (below 5.5) in the face of spontaneous acidemia or after acid loading. Autosomal-dominant and -recessive forms of dRTA are caused by mutations in ion transporters of the acid-secreting Type A intercalated cell of the renal collecting duct. These include the AE1 Cl-/HCO3- exchanger of the basolateral membrane and at least two subunits of the apical membrane vacuolar (v)H+-ATPase, the V1 subunit B1 (associated with deafness) and the V0 subunit a4.""",Urinary system disease,,"""SCL4A1 [HSA:6521] [KO:K06573], ATP6V1B1 [HSA:525] [KO:K02147], ATP6V0A4 [HSA:50617] [KO:K02154]""",,"""Amphotericin B [DR:D00203], Lithium [DR:D08133], Analgesic abuse, Toluene [CPD:C01455], Cyclamate, ",,"""Plasma K+ [CPD:C00238], Urinary anion gap [CPD:C01330 C00238 C00698], Urine pH, Urinary NH4+""","""A mixture of Na+ and K+ salts [CPD:C01330 C00238], Potassium citrate [DR:D05578], Sodium bicarbonate [DR:D01203]""",,"""ICD-10: N25.8, MeSH: D000141, OMIM: 179800 267300 602722"""
C0001126,H00429,MeSH,D000141,Proximal renal tubular acidosis (RTA type 2),"""Renal tubular acidosis (RTA) is characterized by metabolic acidosis, a severe disturbance of extracellular pH homeostasis, due to renal impaired acid excretion. Proximal RTA (type 2) is caused by an impairment of bicarbonate reabsorption in the proximal tubules, resulting in low renal bicarbonate threshold. Mutations in the gene SLC4A4, encoding Na+-HCO3- cotransporter (NBC-1), have been found in proximal RTA.""",Urinary system disease,,SLC4A4 [HSA:8671] [KO:K13575],,"""Acetazolamide [DR:D00218], Outdated tetracycline, Aminoglycoside antibiotics, Valproate, 6-Mercapto",,"""Plasma K+ [CPD:C00238], Urinary anion gap [CPD:C01330 C00238 C00698], Urine pH""","""Sodium bicarbonate [DR:D01203], Potassium bicarbonate [DR:D02077], Thiazide""",,"""ICD-10: N25.8, MeSH: D000141, OMIM: 604278"""
C0001139,H00309,MeSH,D000151,Multidrug-resistant Acinetobacter infection,"""Acinetobacter baumannii has emerged as a worldwide problem as a nosocomial pathogen in hospitalized patients. It can cause bacteremia, pneumonia, meningitis, urinary tract infection, wound infection, and nosocomial infections with mortality rates of 20 to 60%. Isolates resistant to almost all commercially available antimicrobials have been identified.""",Infectious disease,,,  Acinetobacter baumannii [GN:aby abc abn abx abz abr abd abh abad abau abaa abk],,,,Colistin [DG:DG00087],,"""ICD-10: A49.9, MeSH: D000151"""
C0001144,H01445,MeSH,D000152,Acne vulgaris,"""Acne is a chronic inflammatory disease of the pilosebaceous unit resulting from androgen-induced increased sebum production, altered keratinization, inflammation, and bacterial colonization of hair follicles on the face, neck, chest, and back by Propionibacterium acnes. P. acnes is a Gram-positive bacterium that forms part of the normal flora of the skin, oral cavity, large intestine, the conjunctiva and the external ear canal. Although P. acnes is primarily recognized for its role in acne, it's also famous as an opportunistic pathogen causing a range of postoperative and device-related infections.""",Infectious disease,,,  Propionibacterium acnes [GN:pac pach],,,,,,"""ICD-10: L70.0, MeSH: D000152, MedlinePlus: 000873"""
C0001169,H01759,ICD-10,D68.4,"""Autoimmune hemorrhaphilia XIII/13, Autoimmune acquired factor XIII (F13) deficiency""","""Autoimmune acquired factor XIII (F13) deficiency or autoimmune hemorrhaphilia resulted from the generation of anti-F13 antibodies (AHFXIII) is a rare but severe life-threatening bleeding disorder. In contrast, non-autoimmune hemorrhagic acquired F13 deficiency (HAF13D) is a less severe bleeding disease secondary to various disease conditions. AHFXIII must be distinguished from HAF13D since AHFXIII requires immunosuppressive therapy to eradicate autoantibodies in addition to F13 replacement therapy to arrest bleeding. Patients with acquired F13 deficiency, in particular those with AHFXIII, are on the increase, at least in Japan.""",Hematologic disease,,,,,,,"""Human blood-coagulation factor XIII fraction, dried [DR:D08802]""",,"ICD-10: D68.4"
C0001193,H01755,MeSH,D000168,Apert syndrome,"""Apert syndrome is a rare autosomal dominant disorder characterized by craniosynostosis, severe syndactyly of hands and feet, and dysmorphic facial features. Other frequent complications include cleft palate and learning disability. Over 98% of cases are caused by specific missense mutations of FGFR2, either Ser252Trp or Pro253Arg.""",Developmental disorder; Skeletal dysplasia,,FGFR2 [HSA:2263] [KO:K05093],,,,,,See also H00458 Craniosynostosis.,"""ICD-10: Q87.0, MeSH: D000168, OMIM:101200"""
